,title,topic
0,Ancient Rome Did Not Fall: Why Real Story is Even Scarier for America and How It Connects to Billionaires,business
1,"If You Can Do Your Job From Home, Be Scared. Be Very Scared.",business
2,Billionaire Monopolist Jeff Bezos Is Buying Up Single-Family Homes to Rent-Trap Humanity Forever,business
3,You Will Own Absolutely Nothing by 2050 — And Here’s Exactly How It Will Happen,business
4,Why are countries moving towards de-Dollarization?,business
5,Floaters,business
6,JP Morgan Announces It Will Spend $1 Billion to Devour Homes and Rent-Trap People Forever,business
7,Speechless,business
8,Red states much worse than you think and they pretend. Here’s the proof.,business
9,Your Debt Isn’t Meant to Be Repaid — Here’s Why,business
10,Bouncy Castle,business
11,"The sick reason why companies lay off their best, high-performing employees.",business
12,Teach Me Daddy,business
13,Why Printers Are So Terrible,business
14,PEMDAS,business
15,ETH-flexive,business
16,Russia’s Economic Crises Is Real — And May End The War Before The Shooting Stops,business
17,The New World’s Richest Man Is a Symbol of Our Broken Economy,business
18,Capitalism vs. Communalism: I Just Spent 24 Hours in a Town That Pools All Their Possessions,business
19,What (Really) Killed Silicon Valley Bank,business
20,"Having Crushed the Rental Market, Airbnb Stoops to a Brutal New Low",business
21,Dust on Crust,business
22,Curve Ball,business
23,Contagion,business
24,For the War,business
25,Why is Crypto exploding now?,business
26,The Most Important Book About Capitalism You Probably Haven’t Read,business
27,People Everywhere are Running Out of Money. Here’s What Happens Next.,business
28,What the Catastrophic FedEx News Tell Us About the Future,business
29,Mortgages Are The Biggest Ripoff On Earth,business
30,Comeback,business
31,Snippets,business
32,"It’s Starting, the Economic Collapse of Russia.",business
33,Russian Troops Discuss Mass Desertion,business
34,I Wonder What All The Poor People Are Doing Today?,business
35,"Suddenly, We Don’t Have Enough People",business
36,White Man,business
37,7 Things That Are Now Middle Class Status Symbols,business
38,Game theory explains why the four day work week is stalled in America,business
39,Do Baby Boomers Realize How Much The Youth Hate Them?,business
40,The Truth About Oil That Nobody Is Ready To Hear,business
41,"Russia Deteriorates: Nuclear Cruiser, Belgorod, Tanks and Trains Go Wrong",business
42,Most Women Literally Can’t Afford A Relationship Right Now,business
43,The Coming War Between China And The U.S. And Why it Will Happen,business
44,How Americans Were Duped Into Putting Ice In Their Drinks,business
45,Pure Evil,business
46,Universal Basic Income Won’t Work and Here’s Why,business
47,What Happens When Economies Go Into a Winner-Take-All Death Spiral? America 2023 Does,business
48,The Middle Class Is Dead (It Just Doesn’t Know It Yet),business
49,The Chinese Banking Bankruptcy Could Trigger the Mother of All Crises,business
50,LLM Economics: ChatGPT vs Open-Source,business
51,What They Are NOT Telling You About SVB’s (and other crashed banks) Bailout,business
52,The Poverty Economy,business
53,Our Economic System is Just No Longer Functional,business
54,The West Just Hit Putin Where It Hurts,business
55,Why We Can’t Imagine the End of Capitalism,business
56,A Practical Guide to Survive During the Mega Inflationary Wave of 2022,business
57,Cipolla’s Five Basic Laws Of Stupidity Explain People Perfectly,business
58,Billionaires Stole Your Three-Day Workweek,business
59,nO bOdY wAnTs tO WoRk,business
60,This Graph has Predicted Every Recession since 1976. What It’s Telling Us Now.,business
61,Brexit Has Been a Spectacular Success. Don’t Believe The Remoaners.,business
62,You Will Own Nothing — Including Books,business
63,Corporations Are Training Our Children for a Life of Serfdom,business
64,The Age of Cheap Stuff Is Over,business
65,What Do Publishers Really Pay You For A Book?,business
66,Deep GPVAR: Upgrading DeepAR For Multi-Dimensional Forecasting,business
67,Current Inflation NOT Caused by Government Spending Says Nobel Prize Winning Economist,business
68,"How, Economically, We’re Fucked",business
69,The Truest Explanation You Will Ever Read About American Class Warfare,business
70,Voltaire Was Right: The Comfort of the Rich Depends on an Abundant Supply of the Poor,business
71,Poverty Isn’t What It Used To Be,business
72,The Sinister Theory Behind the SVB Collapse You Haven’t Heard,business
73,Policy Lessons from the Population Pyramid,business
74,How To Read a Stock Quote,business
75,The Real Estate Crash is Entering its Next Stage,business
76,Here Is What You Can Expect for the Next 12 Months,business
77,Why the Economy of the 2020s Is Going to Be a Big Squeeze,business
78,"How, Financially, We’re Fucked",business
79,The Chinese Yuan’s Futile Quest To Replace The Dollar,business
80,"Your House, Car, And Else: Prepare to See Them Tumble in the Next 6 Months",business
81,"How to Counter the Argument “If America’s So Bad, Then Why Is Everyone Moving Here?”",business
82,Surviving Tomorrow’s 23 Predictions for 2023,business
83,People Who Don’t Buy in the Next Five Years Will Likely Never Own a Home,business
84,"It’s Just Fucking Money, People",business
85,Why Do So Many People Have a Pathological Hatred of The Left In The UK and America?,business
86,You Can Become a Millionaire Working At Costco,business
87,Let’s Not Forget The Real Reason Why Child Labor Is Being Legalized,business
88,Wall Street Invented an Investment That’s Even Worse Than the One That Caused the 2008 Crash,business
89,"In Just Three Months, Corporations Bought 80,000 Family Homes and Turned Them Into Rentals",business
90,Hyper-Elites Are Desperate For a Recession Because They Want to Buy Your Assets for Cheap,business
91,The Tyranny of Malcolms,business
92,How to Avoid the Great Reset to Serfdom,business
93,Why the Economy Is in a Perma-Crisis,business
94,Say it with me: The Biden Boom,business
95,This Book Explains Why Everyone’s in Debt — It’s Not What You Expect,business
96,Why only Degrowth Will Save The World,business
97,Landlords are Devouring Millions of Homes — And No One Will Stop Them,business
98,A RAND Study Destroyed the Concept of Unfettered Capitalism and Nobody Noticed,business
99,Another Unfortunate Accidental Death As Putin Tightens The Loyalty Rein,business
100,The Sophistry of Ayn Rand’s Case for Ethical Selfishness,business
101,Don’t “Get” People to Do Anything,business
102,Can’t Afford Real Estate in Canada? Here’s Where You Should Move Instead,business
103,Putin Is Feeling The Squeeze,business
104,The Ridiculous “Everything’s Gotten Better” Guys,business
105,The Thing Most Rich People Honestly Do Not Understand,business
106,England Is Being Destroyed From Within — Just as Shakespeare Predicted 428 Years Ago,business
107,Trump’s Genius Has United Iran and Russia On A Corridor That Rivals Suez,business
108,Does Anyone Else Feel Like This Recession Is Manufactured?,business
109,Investor that Inspired ‘The Big Short’ Has Sold All of his Stocks — Except One,business
110,The ultimate way to collect stock/economic data for your project,business
111,Things That Seem “Radical” in America Are Normal in Sane Countries,business
112,Banking and Landlording Are Mathematically Unsustainable and Will Inevitably Destroy the Global Economy,business
113,Using ChatGPT to Decode Stock Price Movements — An Academic Survey,business
114,America is Very Rich. What Do We Spend Our Money On?,business
115,Britain’s New Prime Minister Is a Corporate Assassin Who Will Destroy the British Economy,business
116,"America Has Become A Three-Caste, Medieval Economy",business
117,What Do Authors Really Earn A Year?,business
118,"Mark Twain Was Right: If Voting Mattered, They Wouldn’t Let Us Do It",business
119,New Study Takes the Mask Off Capitalism and Extreme Poverty Discourse,business
120,Technical Debt Has Taken Over The Economy,business
121,Jeremy Grantham Is Warning Of A “Super Bubble” In US Markets,business
122,How The Rich Are Doing In Sri Lanka’s Collapse,business
123,A Quote Taught Me About Why We’re Seeing A Rise In Religious Fanaticism,business
124,How Everything Broken Will Be Fixed,business
125,A 13-Year-Old Girl Is Revealing A Monster in Putin’s Future,business
126,"They Took Away Your Rights? Ladies, it’s Now Time to Tank the Economy",business
127,20 Million Russian Casualties: The Incredible Price Needed To Conquer Ukraine,business
128,There Is No Way Out for Europe,business
129,Why Ireland Is So Rich,business
130,How The Economist Is The Worst Propaganda,business
131,Why There Is A Growing Global Food Shortage & What It Will Look Like,business
132,Landlords Are Parasites,business
133,The Rise Of American Incompetence,business
134,"Enough with the Billionaire Philanthropy, Just Pay Your Taxes!",business
135,"If Social Democracy Is So Great, Why Is the US Richer Than Nordics?",business
136,Putin Has Destroyed His Russia: Here’s How,business
137,UK Conservatives Just (S)elected an Ex-Goldman Sachs Billionaire Tax Evader to Be Their Next Prime Minister,business
138,Streamr Awards are here! Contribute and earn unique sNFTs,business
139,"$1,000 Car Payments and $3,000 Mortgages Will Haunt Us For Decades",business
140,"No, 33% of Americans Making $250,000 Are Not Living ""Paycheck To paycheck""",business
141,‘In the Soviet Union We Didn’t Have Bananas and All Was Fine’,business
142,Americans Have Absolutely Zero Clue What True Freedom Means,business
143,"Not Content To Destroy Affordable Housing, Investors Are Now Buying Trailer Parks and Jacking Rents",business
144,What Ballpoint Pens Can Tell Us About China’s Future,business
145,Why Everyone But Economists Knows the Economy Sucks,business
146,The Poor Rich,business
147,Elon Musk Is Completely Wrong About Overpopulation,business
148,$12 Trillion Dollars Worth of Gold Deposits Found In Uganda. Let The Wars Begin,business
149,The Capture of Bakhmut Highlights Russian Failure,business
150,Capitalism and Free Enterprise Are Not the Same,business
151,Another imminent stablecoin collapse in crypto?,business
152,Revisited For 1st Anniversary: The REAL Reason Russia is Losing,business
153,Tesla Drops $600-billion As Musk Becomes Model Republican,business
154,There Are Three Ways to Get Rid of Inflation. One Is “Impossible” and One Will Destroy the Country.,business
155,The US Government Should Erase All Debts Right Now,business
156,"World’s 123rd Richest Person Says if You Understand the Stanford Experiment, You’ll Become Wealthy.",business
157,Google’s Sparrow Will Kill ChatGPT — It is Microsoft Teams vs. Slack All Over Again.,business
158,How I Created an Online Business With AI in Just 24 Hours!,business
159,3 Habits The Wealthiest People Practice Daily That Most Others Don't,business
160,I’ve Been Working From Home For 10 Years — Here are my Recommended Side Hustles for 2023.,business
161,Apple Silently Launched A New Bank Killer Savings Account That Changes Everything,business
162,Billionaire Monopolist Jeff Bezos Is Buying Up Single-Family Homes to Rent-Trap Humanity Forever,business
163,Jessica Alba’s Honest Company Went From $1.5 Billion to $150 Million Because They Lied.,business
164,How I Used Data Science to Establish 3 Consistent Streams of Income,business
165,You Will Own Absolutely Nothing by 2050 — And Here’s Exactly How It Will Happen,business
166,Why are countries moving towards de-Dollarization?,business
167,How To Know if a Business Is a Bad Idea Before Even Starting It,business
168,Earn Money with Useless Bandwidth and a 25$ single-board-computer,business
169,"My Dead-Simple Content Strategy to Make $100,000 Part-Time in 2023",business
170,5 AI Coins For the Next Crypto Trend,business
171,Max Bidding,business
172,JP Morgan Announces It Will Spend $1 Billion to Devour Homes and Rent-Trap People Forever,business
173,12 Life Lessons From “Rich Dad Poor Dad” That Can Change Your Life,business
174,Open AI CEO Sam Altman Predicts the Next Trillion Dollar AI Company,business
175,Everything They Don’t Tell You About Taking Care of Aging Parents,business
176,10 awesome books for Quantitative Trading,business
177,The End Of The US Dollar: What the Future Holds for Global Finance,business
178,Financial Freedom For Lazy People: 10 Simple Steps,business
179,A Total Addressable Market (TAM) Masterclass,business
180,"I Needed Money, So I Started Options-Hacking",business
181,Rich Dad Poor Dad — Seriously?,business
182,Capitalism vs. Communalism: I Just Spent 24 Hours in a Town That Pools All Their Possessions,business
183,5 Businesses That Are No Longer a Good Idea for 2023,business
184,Ensuring Transparency and Accountability with Locked Tokens,business
185,"Having Crushed the Rental Market, Airbnb Stoops to a Brutal New Low",business
186,5 Small Things I Wish I knew When I Was Making $0 on the Internet,business
187,How I Made $900 in 30 Days With Affiliate Marketing (New Case Study),business
188,The Favorite Country for Americans to Retire (By Far) and Why So Many Do So,business
189,"This Study of 10,000 Millionaires Shows You The Truth About Building Wealth",business
190,Why is Crypto exploding now?,business
191,Rule #1 of Building Wealth: Play Defense With Your Money,business
192,EthereumPoW FAQs — Read me 1st,business
193,Another Crypto collapse just occurred,business
194,What the Catastrophic FedEx News Tell Us About the Future,business
195,Mortgages Are The Biggest Ripoff On Earth,business
196,A Crash Course on Venture Capital From an Ex-investor at a $100 Billion Fund,business
197,"7 money lessons from the book ‘Rich Dad, Poor Dad’",business
198,This Was What Always Killed Ancient Empires (And We Never Talk About It),business
199,Data Scientist turning Quant (I)— Why I became an Algo Trader,business
200,Quantitative Finance is Now for Everybody,business
201,100 best lines from the book: The Psychology of Money,business
202,9 Non-Obvious Signs of a Poor Person That Most People Never Realize,business
203,LlamaIndex and Deep Lake for Financial Statement Analysis,business
204,"How I Made $3,063 on the Internet in 31 Days (Part-Time)",business
205,How I developed a trading system as a software engineer with no formal finance background,business
206,5 Signs You’re Doing Better with Finances Than You Think,business
207,I cancelled my AMEX Platinum card and here’s why.,business
208,The Most Profitable Strategy You’ve Never Heard Of,business
209,Advanced Stock Price Prediction Using XGBoost and Time Series Analysis,business
210,"Your Crypto Is Worth Nothing — The Sooner We Introduce Central Bank Digital Currencies, the Quicker We Can Regain Control (ECB President)",business
211,7 Things Rich People Say That Are Complete Bu11$h!t,business
212,Every Investor is talking about OpenBB 3.0: Here’s why?,business
213,"Robert Kiyosaki’s book — Rich Dad, Poor Dad — is a Giant Steaming Pile of Shit",business
214,Universal Basic Income Won’t Work and Here’s Why,business
215,"Machine Learning is an Animal, But Financial Machine Learning is a Beast",business
216,The Middle Class Is Dead (It Just Doesn’t Know It Yet),business
217,The Chinese Banking Bankruptcy Could Trigger the Mother of All Crises,business
218,12 Ways To Improve Your Finances in 2023.,business
219,Here’s A Complete Pitch Deck I Created For A Client,business
220,How I’m using Machine Learning to Trade in the Stock Market,business
221,What They Are NOT Telling You About SVB’s (and other crashed banks) Bailout,business
222,3 Things You Shouldn’t Buy During A Recession,business
223,How The Rich (Really) Invest,business
224,Moving to a Small Town Nearly Ruined Me Financially. This is Why.,business
225,Writers Are Lying To You About Their Earnings,business
226,6 Lessons from a Data Scientist in the Banking Industry,business
227,Uber’s still not profitable,business
228,Here’s how much I make as a Medium writer,business
229,Finance NLP 1.5.0 is out!,business
230,A Practical Guide to Survive During the Mega Inflationary Wave of 2022,business
231,An automated stock trading system using deep learning,business
232,Billionaires Stole Your Three-Day Workweek,business
233,How To Use the 2023 Recession Wisely To Exponentially Grow Your Wealth,business
234,"World’s 5th Richest Person Says if You Understand Ambiguous Illusion, You’ll Become Wealthy.",business
235,Three Secrets of Wealth Creation in an Age of Inflation,business
236,I’ve Lived in Airbnbs for 24 Months. My Inside Guide to Never Booking an Expensive Dump Ever Again,business
237,This Graph has Predicted Every Recession since 1976. What It’s Telling Us Now.,business
238,24 Countries Enticing Pensioners By Offering Retirement Visas,business
239,"If You Want to Attract Money, You Need to Understand Its Energy",business
240,This is how the SEC will kill most cryptos except Bitcoin,business
241,90% of Young People Are Financially Broke for This Single Reason,business
242,You Will Own Nothing — Including Books,business
243,Corporations Are Training Our Children for a Life of Serfdom,business
244,Mastering the Day Trading Using Neural Network & Deep Learning,business
245,Can OpenAI’s ChatGPT Forecast Stock Market Prices?,business
246,The 6 Money Habits That 99% Of Wealthy People Practice Daily,business
247,Build an Investment Portfolio with ChatGPT,business
248,I Tried Freelancing for a Week and Here’s My Humble Opinion(As ML/AI Developer).,business
249,Portfolio Optimization with Python: using SciPy Optimize & Monte Carlo Method,business
250,"Forget the Debt-Ceiling Crises, the U.S. is Already a Serial Defaulter",business
251,How to start creating a stock portfolio using Optimization Algorithms,business
252,Dual-Class Arbitrage is a Literal Cash Cow.,business
253,97% of People Fail at The Game of Money. This is How You Join the 3%,business
254,Voltaire Was Right: The Comfort of the Rich Depends on an Abundant Supply of the Poor,business
255,How to Develop a Pattern Recognition Neural Network for Trading,business
256,The Ultimate Trading Strategy: How to Combine Kelly Criteria and Monte Carlo Simulation,business
257,The Sinister Theory Behind the SVB Collapse You Haven’t Heard,business
258,How A 28-Year-Old Financial Trap Is Exploding Now,business
259,How To Read a Stock Quote,business
260,The Real Estate Crash is Entering its Next Stage,business
261,Here Is What You Can Expect for the Next 12 Months,business
262,"We’re Heading for a Crash, and Your Bitcoin Investment Is About To Dump (Raoul Pal)",business
263,Cryptos to Buy and Hold Before BullRun 2023!,business
264,A Simple Way to Scan for Breakout Candidates Using Python,business
265,"How, Financially, We’re Fucked",business
266,The impossible just happened in Crypto!,business
267,Application of the Nobel-Prize-Winning Black-Scholes Option Pricing Formula in a Day Trading Setting,business
268,4 Stoic Habits That Will Help You Save More And Build True Wealth,business
269,Do Yourself a Favor and Don’t buy a House in 2023,business
270,"Your House, Car, And Else: Prepare to See Them Tumble in the Next 6 Months",business
271,"How to Counter the Argument “If America’s So Bad, Then Why Is Everyone Moving Here?”",business
272,People Who Don’t Buy in the Next Five Years Will Likely Never Own a Home,business
273,I Analysed The Pitch Deck Melanie Perkins Used To Raise $6.6 Million For Canva.,business
274,Python: How to Get Live Market Data (Less Than 0.1-Second Lag).,business
275,Creating a Momentum Trading Scanner with Dynamic Time Warping,business
276,You Can Become a Millionaire Working At Costco,business
