,title,topic
0,10 Mental Models for Learning Anything,education
1,Predicting The FIFA World Cup 2022 With a Simple Model using Python,education
2,10 Hottest New Apps in September 2022 — ProductHunt Most Upvoted,education
3,Nobody Wants to Teach Anymore,education
4,My Top 5 Paid Subscriptions I’ll Never Cancel as a Programmer,education
5,I’ve had enough of teaching,education
6,The 5 paid subscriptions I actually use in 2023 as a software engineer,education
7,Here’s How Two New Orleans Teenagers Found a New Proof of the Pythagorean Theorem,education
8,Goodbye Excel. Hello Spreadsheets in Python!,education
9,7 Websites That Will Help You Spend Your Time Wisely,education
10,5 Python Projects to Automate Your Life: From Beginner to Advanced,education
11,You Are Not Okay and Tomorrow Will Come,education
12,Automate WhatsApp Messages with Python in 3 Steps,education
13,The 10 Best Data Visualizations of 2022,education
14,4 Books That Taught Me Much More Than My Expensive Degree,education
15,ChatGPT: 4 Jobs That Will Change (or Be Fully Replaced) by This AI-Powered Chatbot,education
16,Guessing C For Every Answer Is Now Enough To Pass The New York State Algebra Exam,education
17,9 successful habits you must follow to become unstoppable,education
18,11 Books to Learn Valuable Skills in 2023,education
19,Please Stop Drawing Neural Networks Wrong,education
20,I Spent 2000 Hours Learning How To Learn,education
21,"If You Ask These 4 Python Questions, You Might Still Be a Nooby",education
22,9 SQL Core Concepts That Helped Me Get My First Data Analyst Job,education
23,60 Insanely Useful Websites That’ll Come in Handy Someday,education
24,Top 10 Most Racist Presidents,education
25,The Complete Roadmap to Becoming a Data Analyst With No Previous Experience,education
26,How ChatGPT is Changing the Game for Product Managers,education
27,Google’s New Programming Language is Called Carbon,education
28,Girls in Yoga Pants Are Going to Explain The Higher Education Apocalypse to You,education
29,The Anatomy of an Amazon 6-pager,education
30,A Technology “Bigger Than AI” Is Becoming Reality,education
31,4 Paid Subscriptions I’m Considering Getting in 2023 as a Programmer,education
32,"Don’t get motivated, be disciplined.",education
33,Amazon Prime Video reduced costs by 90% by ditching Microservices,education
34,The End Of The US Dollar: What the Future Holds for Global Finance,education
35,Five Advanced Data Visualizations All Data Scientists Should Know,education
36,"Goodbye Low-Quality Udemy Courses. Hello, Subscription Courses!",education
37,Is Ron DeSantis Trying To Cancel Black Fraternities And Sororities?,education
38,How I Understood the ‘Psychology of Money’ in 6 Visuals,education
39,Update Your Course Syllabus for chatGPT,education
40,4 Python Packages to Create Interactive Dashboards,education
41,Only One Pair of Distinct Positive Integers Satisfy The Equation n^m = m^n,education
42,Python f-string codes I use every day,education
43,Fifteen Questions to Test Your Statistics Knowledge,education
44,The Insane Study Routine of Sir Isaac Newton,education
45,Super Fast Data Analysis in Python,education
46,The 5 Best Data Science Books You Should Read in 2022,education
47,How to Use the Sherlock Mind Palace Study Technique to Teach Yourself Data Science,education
48,I made an AI that can study for me.,education
49,Coldplay’s “Viva la Vida” is a retelling of the French Revolution,education
50,5 Less-Known Python Libraries That Can Help in Your Next Data Science Project,education
51,5 Brilliant Mathematics Lectures That You Must Watch,education
52,9 One-Liners Anyone Learning Python Should Know,education
53,Is a Mac or Windows PC Better for Programming?,education
54,When Richard Feynman Met Albert Einstein,education
55,"Tracing the Origins of Mathematical Symbols: =, +, -, ×, ÷, √, ∞, π, Σ, ∫, f(x)",education
56,Beyoncé and Jay-Z to HBCUs’ Rescue,education
57,31 Uniques Python Packages To Improve Your Data Workflow,education
58,ChatGPT: No One is Talking About the Real Implications,education
59,Stop Buying Courses — Read These Books Instead,education
60,I Have No Idea How to Be Smart,education
61,Kubernetes Basics Cheatsheet,education
62,The Secret to Good Photography,education
63,Tools I use as a Product Manager,education
64,Dear Teachers: Please Stop Assigning Homework. It’s Discriminatory as F*ck.,education
65,Math is a Language. This is how you should learn it.,education
66,A Practical 12-Week Course to Learn to Automate Stuff with Python,education
67,Histograms and Density Plots in Python,education
68,Turn Google Sheets into Your Own Database with Python,education
69,It’s Time to Re-Design How We Think,education
70,6 Machine Learning Algorithms Anyone Learning Data Science Should Know,education
71,Richard Feynman and the Spaghetti Problem,education
72,How To ByPass New York Times Paywall And Read unlimited NY Times Articles For Free,education
73,A Critical and Often Misunderstood Fact About Linear Regression,education
74,Why Teachers Can't Tell the Whole Truth About Rosa Parks,education
75,The Beautiful Applications of Calculus in Real Life,education
76,Ask an MIT Professor: What is system thinking and why is it important?,education
77,"10 Amazing Resources For Prompt Engineering, ChatGPT, and GPT-3",education
78,6 Books You Should Read at Least Once in Your Lifetime,education
79,4 Python Packages to Learn Causal Analysis,education
80,How to Easily Automate Emails with Python,education
81,What If Black People Are Just Stupid?,education
82,Shadow Work: A Simple Guide to Transcending The Darker Aspects of Yourself,education
83,The Top Programming Books of All Time,education
84,An Interesting Interview Question.,education
85,"Yes, You Can Easily Scrape Websites with Pandas. Here’s How.",education
86,The Shortest Physics Paper Ever Published,education
87,Automate PowerPoint Presentation Report with Python,education
88,5 Simple Ways to Tokenize Text in Python,education
89,The Greatest Mathematicians — A Data Visualisation,education
