,title,topic
0,The Lucrative Job for Young Japanese Girls That Might Disgust Most Western Women,entertainment
1,French Women Do This One Simple Thing To Stay Slim,entertainment
2,Why Does Working in Hospitality Change You as a Person?,entertainment
3,6 Socially Acceptable Things in Japan That Might Horrify Most Americans,entertainment
4,"After My 5 Years Of Living In Spain, I Offer A Brutally Honest View Of Life There.",entertainment
5,When 100 Strangers Bought Me a Coffee,entertainment
6,10 European Cities No One Ever Visits,entertainment
7,Why We Hated Egypt and Will Likely Never Go Back,entertainment
8,5 Sleep Hacks for Travel,entertainment
9,The Favorite Country for Americans to Retire (By Far) and Why So Many Do So,entertainment
10,Why We Will Never Use Airbnb Again,entertainment
11,Moving to Jakarta Part 3: The 30 Reflections,entertainment
12,I Just Got Back From Japan. Here’s What Shocked Me.,entertainment
13,Don’t Move to Estonia,entertainment
14,9 European Cities Ruined by Tourism,entertainment
15,Moving to Jakarta Part 1: The Why,entertainment
16,The Incredible Eighth Wonder Of The World That Vanished 150 Years Ago,entertainment
17,It’s No Longer Possible to Move Abroad to Save Money,entertainment
18,Club Med Life: Behind-The-Scenes Working at a Tropical Resort,entertainment
19,Pros & Cons of Retiring in a Place Where Days Can Last for 19 Hours,entertainment
20,What the fnu?,entertainment
21,"Eight Things I Hate About Italy, and You Will Probably Hate Too",entertainment
22,I cancelled my AMEX Platinum card and here’s why.,entertainment
23,All 182 screensavers on your Amazon Fire TV and their locations (photos),entertainment
24,I Can’t Live in an American City Again,entertainment
25,Habits That Are Normal In France That Aren’t Appreciated In The U.S.,entertainment
26,14 things about living healthfully I’ve learned from life in Japan,entertainment
27,But Didn’t You Know That Business Class Is For White People Only?,entertainment
28,I Just Got Back From Australia. Here’s What Shocked Me.,entertainment
29,"The Terminally Ill 63-Year-Old Woman Who Rode A Horse 7,000 Miles Across The United States",entertainment
30,My Danish Husband Is Back from Summer in Europe and Here’s What Startled Him,entertainment
31,10 Reasons Why I’ll Never Go On Another Cruise,entertainment
