,title,topic
0,Experience some of the world’s most beautiful places with Wiki Loves Earth 2022,environment
1,Ramanujan’s Magnificent Formula for Pi: 9801/(1103√8)=π,environment
2,The Moon Cries Too Sometimes,environment
3,A Simple Strategy for Boosting Happiness and Health: Spend Time in Nature,environment
4,The World Is Magic. So Where Is the Magician?,environment
5,David Attenborough Narrates the Great Twitter Migration,environment
6,Ode to Spring,environment
7,Poetry Is a Tower of Babel,environment
8,A Decaffeinated Dawn,environment
9,"The Difference Between ‘Hard’ and ‘Soft’ Fascination, and Why It Matters",environment
10,Solitude,environment
11,Where the Trail Ends and the New Lake Begins in Southern California,environment
12,Forever In My Heart: The Happiest Day Of My Life,environment
13,I’d Rather Go Dirty Than Watch My Garden Die,environment
14,The Gregorian Calendar and Nature: Considering Earth’s Calendar,environment
15,The Dawn of My Second Childhood,environment
16,Life is a beautiful thing,environment
17,9 Fun and Unique Nature Date Ideas,environment
18,The Forest Sanctuary,environment
19,Morning on the River Lea,environment
20,"Literally raised by wolves, this Indian boy was found wandering in the wilderness as a six-year-old",environment
21,California Poppies,environment
22,what you look like,environment
23,The Largest Wave in History,environment
24,How to Build an Organic Hosta Garden on the Cheap,environment
25,The Biophilia Paradox,environment
26,She Talks,environment
27,Here’s my hack for a luscious lawn,environment
28,The Majestic Mountains — My First Love,environment
29,The Grey Heron,environment
30,Snow Forecast Maps for the Upcoming Winter Storm in New England,environment
31,Southern California Spring Wildflowers,environment
32,Are you listening,environment
33,The Solstices and Equinoxes,environment
34,Stepping Back to a Primordial Time in an Alaskan Muskeg Bog,environment
35,Getting Snowed-in Was Amusing and Relaxing— Until Not Even the Plow Could Help,environment
36,A Walk Down the Tracks,environment
37,18 Photos of Animals Trying (and Failing) to Be Dignified,environment
38,Joined,environment
39,indefinite bodies,environment
40,The Poet Who Inspires,environment
41,22 Fascinating Facts About Pi(π) That Will Make You Amazed,environment
42,Nature Awakens Us: Rediscovering Bottom-Up Attention in a Top-Down World,environment
43,7 Amazing Optical Illusions Found in Nature,environment
44,Colors Seem Alive,environment
45,The Last Bird Singing,environment
46,Beyond the Cinder Cones and Above the Clouds in Haleakalā Crater,environment
47,A World Free,environment
48,We Are Like the Seagulls,environment
49,The Quote that might actually Force Me to Start Living my Life.,environment
50,Snow Makes The Earth Glitter And Sparkle With A Fluffy White Blanket,environment
51,Fenced In,environment
52,What If We Could GROW Clothes?,environment
53,Sea Turtles Saved My Life,environment
54,It Would Be So Boring Without The Seasons In Our Life,environment
55,The Universe Has a Favorite Number,environment
56,Water Music,environment
57,The 3 Strangest Unsolved Disappearances of All Time,environment
58,Animals Feel Awe Too — How Beauty and Love Rule the Natural World,environment
59,"In Joy And In Sadness, Flowers Are Our Friends",environment
60,Vegetables Bring Joy To Life,environment
61,Have You Heard Of The Rare New Giant Spider?,environment
62,Monitoring For Monarch Butterflies: This Year’s Milkweed Tells The Story,environment
63,Exploring the Not So Famous Beaches of Central Florida,environment
64,Awake my Soul to the Music of Rain,environment
65,Say Goodbye to Green Things,environment
66,Should We Keep Rebuilding Florida As It Sinks Into Rising Waters?,environment
67,Where Cascading Waterfalls are Shooting out of the Forest,environment
68,Flowers Bloom And Fill Life with Positivity And Joy.,environment
69,The Sea,environment
70,The Most Poetic Thing about Mathematics,environment
71,15 Beautiful Math GIFs That Shows the Beauty of Mathematics,environment
72,The Therapeutic Power of Walking in Storms,environment
73,Anti-growth,environment
74,Understanding Psalm 23: What God Meant by Green Pastures and Still Waters,environment
75,How A 19th Century Farmer Accidentally Created The Desert Of Maine,environment
76,Beneath Untroubled Waters,environment
77,The Countryside is a Cage,environment
78,"Starry Night, Relax In The Hot Tub, Chocolate Body Wrap, Cupcakes and Champagne",environment
79,A Walk In The Woods,environment
80,"When Will We Hit The Earth’s Tipping Points, According To Scientists",environment
81,The Basics of Aromatherapy: What is it and How Does it Work?,environment
82,Snowfall Amounts to Be Determined Later,environment
83,Some People Take Webinars To Learn How To Recognize Bird Songs,environment
84,All Cherry Blossoms are Perfect,environment
85,"Rat Kings…What Are They, Really?",environment
86,"The Long, Slow Slant of the Sun",environment
87,Regrowth: Design Visions for the Future,environment
88,The Other Side of my Mountain,environment
89,The Fresh Cauliflower Is So Attractive,environment
90,All About Clouds,environment
91,The Soothing Power of Nature Photos,environment
92,The World’s Oldest Continuously Burning Fire,environment
93,At a Small Waterlily Pond In Spring,environment
94,You and I are connected,environment
95,“We Are What We Repeatedly Do.,environment
96,Ocean Waters,environment
97,Why Do They Say Beans Are Magic?,environment
98,The Special Tree In My Life,environment
99,If You Want to Be a Poet,environment
100,The Pond’s Song of Springtime,environment
101,Sounds Of Nature Transmit Spiritual Signals Of JoyAnd Positivity,environment
102,Stillness Within Motion — Bee and Borage,environment
103,Revival,environment
104,If Rocks Turn Plastic In The Sea What Will Happen To Marine Life,environment
105,National Park Visits Don’t Need to Cost Money,environment
106,Riding A Bike,environment
107,How Nature’s Monstrousness Drives Human Progress,environment
108,This Is Who I Am,environment
109,Farting. 🤭 Tiny farts to HUGE farts!,environment
110,The Rain Will Sometimes Fall on Us,environment
111,Submission Guidelines & Layout,environment
112,Rewild and Find Connection with Nature,environment
113,House Plants🌿 are 🍃So Beautiful!,environment
114,Flowers Are A Powerhouse of Beauty And Positive Energy,environment
115,How Blue Butterflies Helped Scientists Find Mass Graves,environment
116,Rebirth and Resurrection,environment
117,"Fuck It, Let’s Have Class Outside Today",environment
118,Lost for 37 Days: The Man Who Did Everything Wrong and Still Helped Create Yellowstone,environment
119,A Little Snow Really Brightens Things Up,environment
120,What happened to my teenager? The Blue Whale Story,environment
121,Up Your Travel Photography Game: Intimate Landscapes,environment
122,Hacking the Three-Day Effect — How to Maximize Your Nature Fix,environment
123,How Many Plants Would It Take to Produce Enough Oxygen for One Person?,environment
124,7 Honest Questions for Atheists: Answered,environment
125,"And Yet, In the Still-Ness",environment
126,Rainier,environment
127,Let Me Tell You a Story,environment
128,The Snow! Enjoy It While It Lasts,environment
129,The Budding Promise of Life,environment
130,Hiking the Trail to the Famous Healing Hot Springs of Big Bend,environment
131,Nature Offers Pure Bliss As I Gaze Down Upon The World,environment
132,The Nobility of Trees,environment
133,Let's Go to the Lake!,environment
134,Here And Now,environment
135,The Part of Climate Change We Always Miss,environment
136,Shape Shifter,environment
137,Ask Ethan: Why does nature obey laws at all?,environment
138,The truth about bear spray — it’s not just for bears,environment
139,"Don’t Take a Selfie with a Bear, Bison, or Elk",environment
140,This Isn’t a Painting. It’s An Unedited Photograph.,environment
141,The Grey Heron,environment
142,Fenced In,environment
143,I Go Berserk For Wildlife,environment
144,Some People Take Webinars To Learn How To Recognize Bird Songs,environment
145,7 Animals That Sum up Bali,environment
146,Spotting Wildlife: My Encounter with a Hidden Alligator,environment
147,Offshore Wind Farms Could Cause ‘Cataclysmic Destruction’ Of Ecosystems,environment
148,"Yellowstone: The Park of Choices, Chances, and Charm",environment
149,The War on Predators,environment
150,How NOT to Identify a Venomous Snake,environment
151,Nobody Believes in Tigers,environment
152,Wildlife in the City,environment
153,Feathers in Florida,environment
154,Real-Time Wildlife Monitoring with Apache Kafka,environment
155,The Human World,environment
156,Skunks Aren’t the Fun Pet of the Future,environment
157,FIGHT CLUB — EPIC ANIMAL BATTLES,environment
158,10 endangered species saved from extinction by zoos,environment
159,What Big Eyes You Have,environment
160,The Best Place to Swim with Sharks in Belize!,environment
161,I’m Not a Stalker!,environment
162,"Blue, Black, Gray, and Golden",environment
163,Draining the Swamp,environment
164,I Need To Immerse Myself In Nature To Feel Alive,environment
165,Access Denied,environment
166,Salmon and seals at Capitol Lake,environment
167,My Favorite Animal That Hops Or Jumps,environment
168,In Flight,environment
169,Springtime Introduction,environment
170,Running with the Alligators,environment
171,Spot the Crocodile,environment
172,The Day a Wild Deer Came Asking For Help,environment
173,A Mountain Lion Sighting on the Trail,environment
174,It’s Not Easy To Give an Enema to a Rhino,environment
175,"Kenya Awaits Me, but Please Remember I Will Be Back Next Month",environment
176,Return of the Bison,environment
177,The School of Nature,environment
178,"Multi-class wildlife classification using YOLOv5, YOLO v7 and Detectron2- Faster RCNN",environment
179,Going to the Birds to Prevent Hazardous Strikes,environment
180,Shed antler collecting in Washington,environment
181,Our day at the San Joaquin Marsh and Wildlife Sanctuary,environment
182,20 Reasons Why it is Necessary To Conserve Our Environment,environment
183,Carmen & Diego,environment
184,Do Sloths Really Mistake Their Own Arms for Branches?,environment
185,Trees Can Talk!,environment
186,Nature’s Near,environment
187,Silhouettes,environment
188,Detecting animals in the backyard — practical application of deep learning.,environment
189,You can not know me,environment
190,Exploring The Urban Rescue Ranch,environment
191,The Crocodile Whisperer of Costa Rica,environment
192,I went to Costa Rica — These are my highlights,environment
193,How a Sneaky Little Mouse Made Itself a Winter Home in My Car,environment
194,"Move Along, Big’un",environment
195,10-Word Photo Stories Featuring Animals,environment
196,AI Geospatial Wildfire Risk Prediction,environment
197,Butterflies Over the Atlantic,environment
198,National Endangered Species Day: pathways to conservation success,environment
199,The Largest Inactive and Intact Volcanic Caldera,environment
200,It’s All Between Sky and Earth,environment
201,I Live on a Lake with Swans,environment
202,"Frozen in Time — Feathers, Reflections, and Water",environment
203,Nature’s Shape-Shifter— The Green Heron,environment
204,Will the Whales Still Sing?,environment
205,You’re Not in Kansas Anymore Dorothy,environment
206,Mr Squirrel,environment
207,Avian influenza: common questions and answers,environment
208,Coming Face To Face With One Of Europes Largest Snakes,environment
209,Impacts of climate change on wildlife,environment
210,"Camping Between Hippos, Elephants and other Wild Animals",environment
211,City Birds,environment
212,Crows are Way Smarter than I Realized,environment
213,15 Most Famous Wild Animals of Australia,environment
214,Do Wildlife Mirror Human Frailties When It Comes To Love And Relationships?,environment
215,Consider The Birds,environment
216,The Craziness of Chimpanzees!,environment
217,Oak Leaves,environment
218,Deers From Sunrise ‘til Sunset,environment
219,Canada Is On Fire,environment
220,Wet,environment
221,Butterflies Dancing Around the Flowers,environment
222,Helping A Hoarder Add To The Hoard,environment
223,More than a Mouthful,environment
224,Snake “Nests?”,environment
225,The Lion Scare,environment
226,"Birds, Beach and Desert Life",environment
227,Camping Alone Can Be Scary: Here’s How to Enjoy Solo Camping with Less Fear,environment
228,The Curious Case of the Opossum and the Orange,environment
229,Where Butterflies are Dancing and Antelopes are Drinking Peacefully at the Waterhole,environment
230,Griffith Park’s Mountain Lion will Now Live on in Legends,environment
