,title,topic
0,"Memo To All Housekeeping, Kitchen, and Dining Room Staff At Mar-A-Lago",politics
1,Britain’s Finally Figuring Out Brexit (Really) Was the Biggest Mistake in Modern History,politics
2,Nobody Wants to Teach Anymore,politics
3,Will Walt Disney World Leave Florida?,politics
4,We’re Not Going to Make it to 2050,politics
5,Ancient Rome Did Not Fall: Why Real Story is Even Scarier for America and How It Connects to Billionaires,politics
6,The Problem With Jordan Peterson No One Seems To Talk About,politics
7,Guessing C For Every Answer Is Now Enough To Pass The New York State Algebra Exam,politics
8,The Disney-DeSantis Battle Has Crossed a Terrifying Line,politics
9,Five Things That Shock Me Every Time I Visit America as a European,politics
10,The Black Vs. White Double Standard In Women's College Basketball,politics
11,Our Civilization Is Hitting A Dead End Because This Is the Age of Extinction,politics
12,Living in Florida Is No Longer Viable,politics
13,“Why Are There Suddenly So Many Trans People?”,politics
14,Billionaire Monopolist Jeff Bezos Is Buying Up Single-Family Homes to Rent-Trap Humanity Forever,politics
15,Charter Cities: The Real Reason for Brexit and the Bigger Picture,politics
16,"I’m Sick with Covid, and The Zombie Apocalypse Has Started",politics
17,The 5 Things That Creep Me Out About America as A European,politics
18,You Will Own Absolutely Nothing by 2050 — And Here’s Exactly How It Will Happen,politics
19,Top 10 Most Racist Presidents,politics
20,JP Morgan Announces It Will Spend $1 Billion to Devour Homes and Rent-Trap People Forever,politics
21,The Age of Progress Is Becoming the Age of Regress — And It’s Traumatizing Us,politics
22,Was Trump Selling Access to Top Secret Documents?,politics
23,The Portuguese Can No Longer Afford To Live in Portugal (Or Even Survive),politics
24,Biden’s Philly Speech Will Be a Turning Point for America — And the World,politics
25,Bible Banned in Schools as Book Censorship Backfires Big Time,politics
26,That Was No Ordinary State of the Union — It Was an Historic Moment for America,politics
27,Girls in Yoga Pants Are Going to Explain The Higher Education Apocalypse to You,politics
28,Russia’s Nuclear Weapons May Be Useless,politics
29,Americans Have Finally Started Killing Over Mayonnaise,politics
30,Red states much worse than you think and they pretend. Here’s the proof.,politics
31,10 Things My Dad Who Swears He’s Not Racist Has Said,politics
32,Britain Has Officially Lost Its Mind,politics
33,The End Of The US Dollar: What the Future Holds for Global Finance,politics
34,"Women Are Getting Pulled Over For Attempted Abortion, and It’s Just The Beginning",politics
35,Al Gore Lost His S*** at the Economic Forum in Davos,politics
36,There’s Only One Self-Help Book You Ever Need to Read,politics
37,Why Republicans Will Finally Destroy the Church in the USA,politics
38,I Joined a Popular Incel Forum — Here’s What They Really Think of Women,politics
39,Is Britain Finally Ready To Admit Brexit Was a (Catastrophic) Mistake?,politics
40,The Lesson of Elon Musk’s Twitter? Everything the Far Right Touches Dies.,politics
41,Why We’re Headed for the Mother of All Financial Crises,politics
42,Why America and Britain Are Both Self-Destructing,politics
43,Is Ron DeSantis Trying To Cancel Black Fraternities And Sororities?,politics
44,Hateopia: The Great Migration of Racists to the South,politics
45,Billy Graham was a truly nasty man,politics
46,"MLK Misremembered: The Inconvenient Truth About Martin Luther King, Jr.",politics
47,"This Winter, Collapse Is Coming to Britain",politics
48,Will Donald Trump Spend the Rest of His Life Behind Bars?,politics
49,Donald Trump Called Ivanka A “Hot Piece Of Meat” He’d “Love To Drizzle Ketchup On All Over”,politics
50,Where Are They Now? Trump’s Black People Didn’t Fare Well,politics
51,Why Britain’s (Severely) Underestimating British Collapse,politics
52,Americans Are Now Experiencing the Everyday Reality of Authoritarian Collapse,politics
53,Russia’s Economic Crises Is Real — And May End The War Before The Shooting Stops,politics
54,The New World’s Richest Man Is a Symbol of Our Broken Economy,politics
55,Searching for Absolution,politics
56,Meet the Society That Had It All — And Blew It Straight to Hell. Britain.,politics
57,"Why Working at Amazon Isn’t Worth $150,000",politics
58,Capitalism vs. Communalism: I Just Spent 24 Hours in a Town That Pools All Their Possessions,politics
59,What (Really) Killed Silicon Valley Bank,politics
60,"Having Crushed the Rental Market, Airbnb Stoops to a Brutal New Low",politics
61,We’re Reliving The Beginnings Of WWI And Just Don’t Realize It Yet,politics
62,Our Civilization Just Hit Three Great — And Ominous — Inflection Points,politics
63,Britain Just Hit the Next Level of Self-Destruction — And the Pain Will Be Immense,politics
64,Lies and corruption: Sailor of the Black Sea flagship “Moskva” Alexander gives new revealing insights that contributed to seal the Moskva’s fate,politics
65,"In 10 Years, Australia Will Decide the Fate of Our Planet",politics
66,Mash-up at Mar-a-Lago: A Pictorial Review of the Historic Housewarming,politics
67,How Ron DeSantis Nuked His Presidential Chances,politics
68,Why Brexit Britain Is Imploding Into a Global Pariah,politics
69,Are Iranian women defining the point of no return?,politics
70,Why We’re Headed for the Mother of All Financial Crises,politics
71,Why the GOP Wants to Tear America Apart,politics
72,(Why) We’re in the Golden Age of the Con Artist,politics
73,China Just Condemned Putin’s Ukraine Invasion,politics
74,What Would Happen if Red States Seceded?,politics
75,Why Britain is Collapsing,politics
76,What We Talk About When We Talk About Elizabeth Bruenig,politics
77,The End of the Age of Abundance (and the Beginning of the Age of Scarcity),politics
78,"The “$70,000 CEO” Dan Price Resigns — After a Slew of Assault Allegations",politics
79,The World Has Gone Insane,politics
80,The Poor Person’s Guide to Saving The Planet,politics
81,"Dear Men: Republicans Are Coming for Your Condoms, Porn, and Super Models",politics
82,Britain Doesn’t Understand How Much Trouble It’s In — But the Rest of Us Should,politics
83,3 Secrets The Media Don’t Want You To Know About Meghan Markle,politics
84,"Cat Stevens, Go F*ck Yourself With Your Fatwa",politics
85,The United States v Donald Trump Will Be the Trial of the Century,politics
86,"“It’s Uniquely American, Isn’t It?”",politics
87,What About All the Rich Men Ghislaine Maxwell Sex Trafficked Girls For?,politics
88,Trump Is Threatening To Release “Interesting Videos” Of Kevin McCarthy Unless The DOJ Is Defunded,politics
89,The Country That’s Teaching Us How Not to Survive the 21st Century,politics
90,How Britain’s Destroying Itself,politics
91,Why Every Small Rural Town in America Is Marienthal,politics
92,6 Books So Dangerous They Had To Be Banned,politics
93,People Everywhere are Running Out of Money. Here’s What Happens Next.,politics
94,"Wake Up, America, This Is Collapse",politics
95,Trump’s Downfall Continues,politics
96,The Final Stages of American Collapse,politics
97,Mortgages Are The Biggest Ripoff On Earth,politics
98,Trump’s White House Chef Just Published A Tell-All Book About His Eating Habits,politics
99,10 Worldwide Predictions For the Next 20 Years,politics
100,The Florida Dream is Over,politics
101,‘The Sound of Silence’ is a hymn to resistance,politics
102,What Britain’s Kamikaze Self-Destruction Teaches the World,politics
103,Why American Life Is So Bleak,politics
104,“She’s Just Trying to Make Money”,politics
105,"What is Perseverance Porn, and Why Do We Fall For It?",politics
106,What Fascism in the 21st Century is Really About,politics
107,Chickens Coming Home: The Black Manosphere Angry that the White Woman they Hyped Turned Out to Be a Disgusting Racist,politics
108,The Age of Extinction Is Here — Some of Us Just Don’t Know It Yet,politics
109,Why Britain Is Collapsing — And What Happens Next,politics
110,Heat. Flood. Fire. Drought. War. Inflation. Welcome to the Age of Extinction.,politics
111,Why American Life Is So Weirdly Stressful,politics
112,Can We Please Talk About The Growing Stigma Around Christianity?,politics
113,"Trump’s Presidential Library Just Opened, And It’s… Odd",politics
114,This Was What Always Killed Ancient Empires (And We Never Talk About It),politics
115,The U.K. Could Declare War on Russia Any Day Now,politics
116,"If You’re Scared For America, You’re Still Not Scared Enough",politics
117,Windows Into Russia: It’s Very Bad,politics
118,"It’s Starting, the Economic Collapse of Russia.",politics
119,Why CNN’s Trump Town Hall Was a Disgrace — And an Insult to Democracy,politics
120,"Dear America, the Republican Party Does Not Work for You",politics
121,Sinema’s Exit From the Democratic Party Is Good News,politics
122,Things I Learned from Reading Biographies of the First Sixteen American Presidents,politics
123,"‘Dirty Hands, Clean Money’",politics
124,"Make Way for the “Oh, Just Shut Up” Party",politics
125,The United States Equalitarian Party,politics
126,Takeaway from Season One of The Kevin McCarthy Show,politics
127,The Doom of Political Parties,politics
128,OMG.GOP.WTF,politics
129,All I Am Saying Is Give Yang a Chance,politics
130,American History Says it’s Okay to Say Goodbye to a Political Party,politics
131,From Philosopher-Kings to Constitutions to Star Trek to Steer into the Skid: The problem of factions and a possible solution (or a very bad idea — you tell me),politics
132,George Santos: Brought to You by the Two-Party System,politics
133,A Glimpse into School Board Politics in Tennessee,politics
134,The Rock In A Babel Tower.,politics
135,Four political movements on the rise!,politics
136,The Two Parties as Prison Gangs,politics
137,Are strong political parties good?,politics
138,Bernie Sanders Won the Debate,politics
139,Why Democrats Are not the Party of Slavery and Republicans Are not the Party of Lincoln,politics
140,America’s Most Formidable Political Problem Isn’t Polarization. It’s Complexity,politics
141,Re-Inventing Democracy with Artificial Intelligence (AI) and Machine Learning (ML),politics
142,Why do Americans hate parliamentary systems?,politics
143,A Five Party America,politics
144,"Coincidence, Correlation, and Causation in Politics",politics
145,Challenges to Political Parties,politics
146,Mass Shootings rank more in Republican Voting Sates,politics
147,Why the Democrats Lose,politics
148,Could Andrew Yang Make America Great Again?,politics
149,The story of Pat Robertson and how to take over a political party,politics
150,How to manage a party leadership handover,politics
151,I was a local party boss in the 1970s and this was what I did all day,politics
152,The Anti-Democracy Party,politics
153,337 — Synergistic Democracy and the Independent Movement,politics
154,Do Political Parties Aid or Hurt Our Political System?,politics
155,Exhausted by Conservatives,politics
156,Why a Multi-Party Congress Would Not Revitalize American Democracy,politics
157,What’s a party to do?,politics
158,"How Occupation, Marital Status, Political Party, Environment.",politics
159,"From Albatross to Litmus Test, Part II",politics
160,The Party Life Cycle in Sierra Leone,politics
161,How to deal with a burnout team,politics
162,The History of Political Parties,politics
163,How to revive a political party in times of stagnation,politics
164,Limitation #1: Political Parties Create a Very Exclusive Club,politics
165,How to Break Government Gridlock,politics
166,Including voters as part of the solution in our political narratives,politics
167,"‘Aaya Ram, Gaya Ram’: When Politicians Change Political Allegiances",politics
168,Hispanics…An American Success,politics
169,The Democratic Party Is Black; the Republican Party Is White,politics
