,title,topic
0,What Google’s Virtual Try-On Means For The Future Of Fashion,programming
1,Unpacking Prompt Engineering,programming
2,I’m an ER doctor. Here’s how I’m already using ChatGPT to help treat patients.,programming
3,The Waygate Release: A Novel 3D Blockchain Platform,programming
4,Delysium Dev-Note Q2 2023 —Harnessing the Power of AI for the Web3 Era: Introducing Delysium AI,programming
5,Meet the Fellow: Umang Bhatt,programming
6,Behind Falcon-40B’s Rise: The Story of Dominating the Open Source LLM Board!,programming
7,Avoiding Burnout During a Career Change into Data Science,programming
8,We Expect Humans To Be Accountable. We Should Expect No Less Of AI,programming
9,It’s time for dimensional thinking in design,programming
10,"ChatGPT has Banned Many Companies, 3 Big Reasons Why!",programming
11,PromptBench: The Litmus Test for Large Language Models,programming
12,Introducing Mojo: The end of Python!,programming
13,"AI has infiltrated every aspect of our lives, But 91% of people don’t know the fundamental AI terms.",programming
14,“AI is Far More Dangerous Than Nukes” — Elon Musk,programming
15,Introducing Voicebox (by Meta): The Most Versatile AI for Speech Generation,programming
16,How To Create Vector Graphics With Midjourney,programming
17,AI Brings Intimacy and Connectivity But Think About Environment Sustainability,programming
18,Can I Write Better than AI?,programming
19,Breaking Down Bias: Rethinking How We Evaluate Language Models,programming
20,How to Learn to Code FAST with AI-Powered Tools,programming
21,Chat GPT: My Surreal Conversation with Artificial Intelligence,programming
22,The Power Duo: Unifying Knowledge Graphs and Large Language Models for Better AI,programming
23,“The Dawn of a New Era: Unveiling the Futuristic Landscape of Artificial Intelligence and its Transformative Impacts”,programming
24,From Novice to Data Maestro: Empowering Data Science Skills with Chat GPT,programming
25,HOW TO USE BASLER INDUSTRIAL CAMERA IN PYTHON OPENCV,programming
26,Atomic unit of expression,programming
27,My AI Companion: Charting the Future,programming
28,HeyPi: the future of AI companionship that we’ll learn to crave,programming
29,5 Powerful Cross-Validation Methods to Skyrocket Robustness of Your ML Models,programming
30,Can AI communicate with us telepathically?,programming
31,Building a Vision Transformer from Scratch in PyTorch,programming
32,Debunking the Washington Post disinformation on Tesla FSD accidents,programming
33,Midjourney is DEAD. Use this AI tool instead.,programming
34,ChatGPT plugin reviews — #1,programming
35,Bill Gates: People Don’t Realize What’s Coming,programming
36,Coding Won’t Exist In 5 Years. This Is Why,programming
37,Bye-bye ChatGPT: AI Tools As Good As ChatGPT (But Few People Are Using Them),programming
38,5 ChatGPT features to boost your daily work,programming
39,Using ChatGPT to build System Diagrams — Part I,programming
40,How To Build Your Own Custom ChatGPT With Custom Knowledge Base,programming
41,Use Git like a senior engineer,programming
42,6 ChatGPT mind-blowing extensions to use it anywhere,programming
43,"Say Goodbye to Loops in Python, and Welcome Vectorization!",programming
44,How we reduced our annual server costs by 80% — from $1M to $200k — by moving away from AWS,programming
45,CodeGPT: The VSCode Extension with ChatGPT-Like Functionalities,programming
46,Top 10 Best Open Source Projects on GitHub 2023,programming
47,13 SQL Statements for 90% of Your Data Science Tasks,programming
48,9 Projects You Can Do to Become a Front-End Master in 2023,programming
49,I Spent 14 Days Studying A Programmer Who Built a $167 B Company — Here Are His Weird Rules To Build a Startup,programming
50,Why I Keep Failing Candidates During Google Interviews…,programming
51,AutoGPT is Taking Over the Internet: Here Are the Incredible Use Cases That Will Blow Your Mind,programming
52,The Difference Between The Clever Developer & The Wise Developer,programming
53,The Architecture of a Modern Startup,programming
54,Getting Started with LangChain: A Beginner’s Guide to Building LLM-Powered Applications,programming
55,"It’s 2022, Please Don’t Just Use “console.log” Anymore",programming
56,My Top 5 Paid Subscriptions I’ll Never Cancel as a Programmer,programming
57,Top 8 Algorithms Every Programmer Should Know 💯,programming
58,5 Python Automation Scripts I Use Every Day,programming
59,"Don’t Run Loops in Python, Instead, Use These!",programming
60,5 Python Decorators I Use in Almost All My Data Science Projects,programming
61,17 Killer GitHub Repos You Need to Save Right Now!,programming
62,Python 3.14 Will be Faster than C++,programming
63,The 5 paid subscriptions I actually use in 2023 as a software engineer,programming
64,Goodbye Node JS,programming
65,Today’s Software Developers Will Stop Coding Soon,programming
66,"60 ChatGPT Prompts for Data Science (Tried, Tested, and Rated)",programming
67,GPT4All: Running an Open-source ChatGPT Clone on Your Laptop,programming
68,"Hey ChatGPT, Automate These Tasks Using Python",programming
69,The most important Linux commands that nobody teaches you.,programming
70,Advice From a Software Engineer With 8 Years of Experience,programming
71,REST vs GraphQL vs gRPC,programming
72,12 Python Decorators to Take Your Code to the Next Level,programming
73,10 Open-Source Projects For Web Developers In 2023,programming
74,How a Simple Script Helped Make Me over $1000/month,programming
75,12 Websites You’ll Love As A Developer,programming
76,I Spent 7 Months Gathering The Very Best Free Courses I Could Find On The Internet,programming
77,Goodbye Excel. Hello Spreadsheets in Python!,programming
78,Don’t Just LeetCode; Follow the Coding Patterns Instead,programming
79,7 Architecture Design Patterns — You wish you knew before interview,programming
80,"Three Programmers Turned a Dating Website Into a $1,650,000,000 Product in 2 Years Beating Google and Microsoft",programming
81,9 Python Built-In Decorators That Optimize Your Code Significantly,programming
82,10 Exciting Project Ideas Using Large Language Models (LLMs) for Your Portfolio,programming
83,10 Must-Read Books for Software Engineers in 2023,programming
84,The Inequitable Reality of Being a Programmer: Exploring the Unfair Advantage,programming
85,5 Python Projects to Automate Your Life: From Beginner to Advanced,programming
86,Meet Julia: The Future of Data Science,programming
87,How to Make Money with Web Scraping Using Python,programming
88,2 Regrets of a 55 Years Old Retired Software Engineer,programming
89,Instagram System Design,programming
90,I am a bad software developer and this is my life,programming
91,System Design Interview Survival Guide (2023): Preparation Strategies and Practical Tips,programming
92,5 Python Tricks That Distinguish Senior Developers From Juniors,programming
93,Introducing IceCream: Never Use Print() To Debug Your Python Code Again,programming
94,Small Python script that’ll keep you “online” all day,programming
95,System Design Master Template: How to Answer Any System Design Interview Question.,programming
96,GraphQL: From Excitement to Deception,programming
97,ChatGPT Will Replace Programmers Within 10 Years,programming
98,Why Experienced Programmers Fail Coding Interviews,programming
99,Enhancing ChatGPT With Infinite External Memory Using Vector Database and ChatGPT Retrieval Plugin,programming
100,🔥 Mastering TypeScript: 20 Best Practices for Improved Code Quality,programming
101,"I Needed Money, So I Started QData Trading",programming
102,11 Amazing New JavaScript Features in ES13,programming
103,Automate WhatsApp Messages with Python in 3 Steps,programming
104,Answering Question About your Documents Using LangChain (and NOT OpenAI),programming
105,"The Best Engineers Think Like Investors, Not Builders",programming
106,5 Ways to Avoid React Component Re-Renderings,programming
107,"A Programmer Turned an Open Source Tool Into a $7,500,000,000 Empire",programming
108,9 Fabulous Python Tricks That Make Your Code More Elegant,programming
109,How to Easily Convert a Python Script to an Executable File (.exe),programming
110,A Simple Guide to OpenAI API with Python,programming
111,It’s Time to Say GoodBye to pd.read_csv() and pd.to_csv(),programming
112,4 Automation Projects in Python You Can Finish in a Weekend,programming
113,I Found a Loophole to (Successfully) Web Scrape Using ChatGPT. Here’s How it Works,programming
114,ChatGPT Hype Is Proof Nobody Really Understands AI,programming
115,Laptop development is dead: why remote development is the future,programming
116,Bad Bad UX: 20 Common Mistakes in User Experience,programming
117,Hypermodern Python Toolbox,programming
118,"Node.js is Aging Like Milk, Now What’s Next?",programming
119,Fundamental Software Architectural Patterns,programming
120,"After 16 years at Google, Justin Moore was fired with an automated email",programming
121,Why an Engineering Manager Should Not Review Code,programming
122,OpenAI /ChatGPT— How to Use it With Python,programming
123,How To Update Your Status During Standup Like a Senior Engineer,programming
124,Programming Languages NOT To Learn In 2023!,programming
125,A 5 years+ tech lead said they shard a database to scale but then he failed to answer this question,programming
126,10 Common Software Architectural Patterns in a nutshell,programming
127,Doing much better than your .env file,programming
128,"Yes, Python Has a Built-In Database. Here’s How to Use It.",programming
129,16 Python Tricks To Learn Before You Write Your Next Code,programming
130,5 Signs You've Become an Advanced Pythonista Without Even Realizing It,programming
131,The Only 30 Methods You Should Master To Become A Pandas Pro,programming
132,Stop doing Token Auth in the Frontend,programming
133,Interviewer: Can (a==1 && a==2 && a==3) Ever Evaluate to ‘true’ in JavaScript?,programming
134,6 AI Tools That Will Make Your Life Easier (Other Than ChatGPT),programming
135,"Don’t use loc/iloc with Loops In Python, Instead, Use This!",programming
136,Solution Architecture: Docs-as-code,programming
137,Advanced JavaScript Concepts that Helped Me Get Better at Coding,programming
138,How to Make Money While Learning Data Science in 2023,programming
139,All JavaScript and TypeScript Features of the last 3 years,programming
140,AutoGPT: The New Kid on the AI Block That’s Changing Everything!,programming
141,Demotivating a (Skilled) Programmer,programming
142,Our Company Fired the Best Developer and Project Manager,programming
143,Node.js Developer Roadmap 2023,programming
144,Pandas Illustrated: The Definitive Visual Guide to Pandas,programming
145,I Used GPT-3 to Find 213 Security Vulnerabilities in a Single Codebase,programming
146,Java 19 Is A Game Changer,programming
147,20 advanced coding projects to expose you to complex concepts,programming
148,Agile Projects Have Become Waterfall Projects With Sprints,programming
149,15 fundamental tips on REST API design,programming
150,Why Google Employees Don’t Work,programming
151,Build custom-informed GPT-3-based chatbots for your website with very simple code,programming
152,The 7 Signs of a Bad Programmer,programming
153,ChatGPT and Software Architecture,programming
154,"Forget about SQLite, Use DuckDB Instead — And Thank Me Later",programming
155,4 React Tips to Instantly Improve Your Code,programming
156,Pandas vs. Polars: A Syntax and Speed Comparison,programming
157,Mindmaps using ChatGPT and PlantUML,programming
158,Say bye bye to bad javascript practices,programming
159,$5000 Per Hour Web Scraping Legal Site,programming
160,Goodbye os.path: 15 Pathlib Tricks to Quickly Master The File System in Python,programming
161,6 Underdog Data Science Libraries That Deserve Much More Attention,programming
162,11 Advanced React Interview Questions you should absolutely know (with detailed answers),programming
163,The Easiest Ways to Generate a Side Income with Python,programming
164,Don’t Start Your SQL Queries with the ‘Select’ Statement,programming
165,I Asked ChatGPT How to Become a Millionaire as a Developer,programming
166,How to Practice LeetCode Problems (The Right Way),programming
167,Elon Musk just force-ranked Twitter engineers & fired the bottom.,programming
168,Why I Will Never Use Alpine Linux Ever Again,programming
169,PandasGUI — The Ultimate Secret to Effortless Data Analysis,programming
170,"If You Ask These 4 Python Questions, You Might Still Be a Nooby",programming
171,Creating Your Own AI-Powered Second Brain: A Guide with Python and ChatGPT,programming
172,"Don’t Run Loops in Python, Instead, Use These!",programming
173,My Boss: Front-end Development Will be Replaced 100% by AI,programming
174,15 Fun and Interesting APIs to use for your next coding project in 2022,programming
175,Applying SOLID principles in React,programming
176,The Erosion of the Status of Software Developers as Professionals,programming
177,10 Hottest New Apps in January 2023 — ProductHunt Most Upvoted 🏆,programming
178,10 websites that pay you up to $1000 to start your technical writing journey.,programming
179,How I Used ChatGPT To Automate These 6 Tasks In My Data Science Role,programming
180,Kotlin is the Future of Back-end Development.,programming
181,Using ChatGPT to learn SQL,programming
182,Top 10 programming books to read in 2022,programming
183,Programming Languages NOT To Learn In 2023!,programming
184,Top 10 programming books to read in 2022,programming
185,"30 year old code killed! Microsoft rewrites Windows kernel with 180,000 lines of Rust",programming
186,Highest Paying Programming Languages for Software Engineers,programming
187,The Programming Language(s) of the Future,programming
188,A Sign You Are Not A Beginner Programmer Anymore,programming
189,My top 3 programming languages to learn in 2023,programming
190,"Amazon posts article on Rust, Go tech lead: don’t “pull the plug” on us",programming
191,I Don’t Give a F⋆⋆⋆ About S.O.L.I.D Principles — Here Are My Reasons,programming
